                                 Obs     vpd     bran    rep    numb
                                 188    -1.77     b2      4       7
                                 189    -1.77     b3      1       0
                                 190    -1.77     b3      2       0
                                 191    -1.77     b3      3       0
                                 192    -1.77     b3      4       0
                                 193    -2.12     b1      1       2
                                 194    -2.12     b1      2       4
                                 195    -2.12     b1      3       1
                                 196    -2.12     b1      4       7
                                 197    -2.12     b2      1       4
                                 198    -2.12     b2      2       2
                                 199    -2.12     b2      3       0
                                 200    -2.12     b2      4       3
                                 201    -2.12     b3      1       1
                                 202    -2.12     b3      2       0
                                 203    -2.12     b3      3       0
                                 204    -2.12     b3      4       0
                                 205    -2.53     b1      1       7
                                 206    -2.53     b1      2       0
                                 207    -2.53     b1      3       5
                                 208    -2.53     b1      4       4
                                 209    -2.53     b2      1       5
                                 210    -2.53     b2      2       2
                                 211    -2.53     b2      3       4
                                 212    -2.53     b2      4       1
                                 213    -2.53     b3      1       0
                                 214    -2.53     b3      2       0
                                 215    -2.53     b3      3       0
                                 216    -2.53     b3      4       0
